Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"SmallestCircle.Console.exe","5,721",0,100.00,0.00,"",
0,"SmallestCircle.ConsoleMode.Program.Main","5,715",0,99.90,0.00,"SmallestCircle.Console.exe",
1,"SmallestCircle.ConsoleMode.Program.TestLinearCalculator","5,702",0,99.67,0.00,"SmallestCircle.Console.exe",
2,"SmallestCircle.Calculation.Calculator.CalculateCircle","5,700",10,99.63,0.17,"SmallestCircle.Calculation.dll",
3,"SmallestCircle.Calculation.Calculator.FindCircleCombination","5,609",259,98.04,4.53,"SmallestCircle.Calculation.dll",
4,"System.Linq.Enumerable.All[System.__Canon]","2,618",570,45.76,9.96,"System.Core.ni.dll",
5,"SmallestCircle.Calculation.Geometry.CircleExtensions.ContainsPoint","1,992",589,34.82,10.30,"SmallestCircle.Calculation.dll",
6,"SmallestCircle.Calculation.Geometry.PointExtensions.DistanceTo","1,271",826,22.22,14.44,"SmallestCircle.Calculation.dll",
7,"[clr.dll]",274,274,4.79,4.79,"clr.dll",
7,"SmallestCircle.Data.Point.get_X",120,120,2.10,2.10,"SmallestCircle.Data.dll",
7,"SmallestCircle.Data.Point.get_Y",51,51,0.89,0.89,"SmallestCircle.Data.dll",
6,"SmallestCircle.Data.Circle.get_Center",65,65,1.14,1.14,"SmallestCircle.Data.dll",
6,"SmallestCircle.Data.Circle.get_Radius",26,26,0.45,0.45,"SmallestCircle.Data.dll",
6,"SmallestCircle.Data.Point.get_Y",25,25,0.44,0.44,"SmallestCircle.Data.dll",
6,"SmallestCircle.Data.Point.get_X",15,15,0.26,0.26,"SmallestCircle.Data.dll",
6,"[clr.dll]",1,1,0.02,0.02,"clr.dll",
5,"SmallestCircle.Calculation.Geometry.PointExtensions.DistanceTo",24,24,0.42,0.42,"SmallestCircle.Calculation.dll",
5,"SmallestCircle.Data.Circle.get_Radius",20,20,0.35,0.35,"SmallestCircle.Data.dll",
5,"SmallestCircle.Data.Circle.get_Center",12,12,0.21,0.21,"SmallestCircle.Data.dll",
4,"SmallestCircle.Calculation.Geometry.CreateCircle.FromThreePoints","2,368","1,246",41.39,21.78,"SmallestCircle.Calculation.dll",
5,"SmallestCircle.Calculation.Geometry.PointExtensions.DistanceTo",405,259,7.08,4.53,"SmallestCircle.Calculation.dll",
6,"[clr.dll]",94,94,1.64,1.64,"clr.dll",
6,"SmallestCircle.Data.Point.get_X",39,39,0.68,0.68,"SmallestCircle.Data.dll",
6,"SmallestCircle.Data.Point.get_Y",13,13,0.23,0.23,"SmallestCircle.Data.dll",
5,"SmallestCircle.Data.Point.get_Y",232,232,4.06,4.06,"SmallestCircle.Data.dll",
5,"SmallestCircle.Data.Point.get_X",164,164,2.87,2.87,"SmallestCircle.Data.dll",
5,"[clr.dll]",153,153,2.67,2.67,"clr.dll",
